location_type,wind,distance,scientific_name,aou_code,date,disturbance,pif_watchlist_status,initial_three_min_cnt,sub_unit_code,humidity,temperature,end_time,id_method,sky,acceptedtsn,start_time,common_name,regional_stewardship_status,flyover_observed,interval_length,sex,admin_unit_code,plot_name,year,observer,visit
Grassland,Light breeze (4-7 mph) wind felt on face,50 - 100 Meters,Spizella passerina,CHSP,2018-05-22,Slight effect on count,False,True,,79.0,20.0,05:45:00,Singing,Cloudy/Overcast,179435.0,05:35:00,Chipping Sparrow,False,False,0-2.5 min,Male,ANTI,ANTI-0054,2018,Elizabeth Oswald,1
Grassland,Light breeze (4-7 mph) wind felt on face,50 - 100 Meters,Sialia sialis,EABL,2018-05-22,Slight effect on count,False,False,,79.0,20.0,05:45:00,Singing,Cloudy/Overcast,179801.0,05:35:00,Eastern Bluebird,False,False,7.5 - 10 min,Undetermined,ANTI,ANTI-0054,2018,Elizabeth Oswald,1
Grassland,Light breeze (4-7 mph) wind felt on face,<= 50 Meters,Ammodramus savannarum,GRSP,2018-05-22,Slight effect on count,False,True,,79.0,20.0,05:45:00,Singing,Cloudy/Overcast,179333.0,05:35:00,Grasshopper Sparrow,False,False,0-2.5 min,Male,ANTI,ANTI-0054,2018,Elizabeth Oswald,1
Grassland,Light breeze (4-7 mph) wind felt on face,50 - 100 Meters,Sialia sialis,EABL,2018-05-22,Slight effect on count,False,True,,79.0,20.0,05:45:00,Singing,Cloudy/Overcast,179801.0,05:35:00,Eastern Bluebird,False,False,0-2.5 min,Undetermined,ANTI,ANTI-0054,2018,Elizabeth Oswald,1
Grassland,Light breeze (4-7 mph) wind felt on face,50 - 100 Meters,Spizella pusilla,FISP,2018-05-22,Slight effect on count,False,True,,79.0,20.0,05:45:00,Singing,Cloudy/Overcast,179443.0,05:35:00,Field Sparrow,True,False,0-2.5 min,Male,ANTI,ANTI-0054,2018,Elizabeth Oswald,1
Grassland,Light breeze (4-7 mph) wind felt on face,50 - 100 Meters,Corvus brachyrhynchos,AMCR,2018-05-22,Slight effect on count,False,True,,79.0,20.0,05:45:00,Calling,Cloudy/Overcast,179731.0,05:35:00,American Crow,False,False,0-2.5 min,Undetermined,ANTI,ANTI-0054,2018,Elizabeth Oswald,1
Grassland,Light breeze (4-7 mph) wind felt on face,50 - 100 Meters,Tyrannus tyrannus,EAKI,2018-05-22,Slight effect on count,False,True,,79.0,20.0,05:45:00,Calling,Cloudy/Overcast,178279.0,05:35:00,Eastern Kingbird,False,False,0-2.5 min,Undetermined,ANTI,ANTI-0054,2018,Elizabeth Oswald,1
Grassland,Light breeze (4-7 mph) wind felt on face,50 - 100 Meters,Passerina cyanea,INBU,2018-05-22,Slight effect on count,False,False,,79.0,20.0,05:45:00,Singing,Cloudy/Overcast,179150.0,05:35:00,Indigo Bunting,True,False,2.5 - 5 min,Male,ANTI,ANTI-0054,2018,Elizabeth Oswald,1
Grassland,Light breeze (4-7 mph) wind felt on face,50 - 100 Meters,Cardinalis cardinalis,NOCA,2018-05-22,Slight effect on count,False,False,,79.0,20.0,05:45:00,Singing,Cloudy/Overcast,179124.0,05:35:00,Northern Cardinal,False,False,5 - 7.5 min,Undetermined,ANTI,ANTI-0054,2018,Elizabeth Oswald,1
Grassland,Light breeze (4-7 mph) wind felt on face,50 - 100 Meters,Zenaida macroura,MODO,2018-05-22,Slight effect on count,False,False,,79.0,20.0,05:45:00,Singing,Cloudy/Overcast,177125.0,05:35:00,Mourning Dove,False,False,5 - 7.5 min,Undetermined,ANTI,ANTI-0054,2018,Elizabeth Oswald,1
Grassland,Light breeze (4-7 mph) wind felt on face,50 - 100 Meters,Pipilo erythrophthalmus,EATO,2018-05-22,Slight effect on count,False,False,,79.0,20.0,05:45:00,Singing,Cloudy/Overcast,179276.0,05:35:00,Eastern Towhee,True,False,5 - 7.5 min,Male,ANTI,ANTI-0054,2018,Elizabeth Oswald,1
Grassland,Light breeze (4-7 mph) wind felt on face,50 - 100 Meters,Melospiza melodia,SOSP,2018-05-22,Slight effect on count,False,False,,79.0,20.0,05:45:00,Singing,Cloudy/Overcast,179492.0,05:35:00,Song Sparrow,False,False,7.5 - 10 min,Male,ANTI,ANTI-0054,2018,Elizabeth Oswald,1
Grassland,Light breeze (4-7 mph) wind felt on face,50 - 100 Meters,Tachycineta bicolor,TRES,2018-05-22,Slight effect on count,False,False,,79.0,20.0,05:45:00,Singing,Cloudy/Overcast,178431.0,05:35:00,Tree Swallow,False,False,7.5 - 10 min,Undetermined,ANTI,ANTI-0054,2018,Elizabeth Oswald,1
